,time_step,outcome_type,outcome,stimulus,stage
0,[489038],C1S6,1,1,stable
1,[497397],C1S6,1,1,stable
2,[519785],C1S9,3,0,stable
3,[546483],C1S9,3,0,stable
4,[565674],C1S9,3,0,stable
5,[574276],C1S6,1,1,stable
6,[586646],C1S9,3,0,stable
7,[597638],C1S9,3,0,stable
8,[605742],C1S6,1,1,stable
9,[615622],C1S9,3,0,stable
10,[642296],C1S9,3,0,stable
11,[650763],C1S6,1,1,stable
12,[660863],C1S6,1,1,stable
13,[669892],C1S6,1,1,stable
14,[681331],C1S9,3,0,stable
15,[691086],C1S9,3,0,stable
16,[705537],C1S9,3,0,stable
17,[712065],C1S6,1,1,stable
18,[722921],C1S9,3,0,stable
19,[731605],C1S10,4,0,stable
20,[751510],C1S9,3,0,stable
21,[760287],C1S6,1,1,stable
22,[773359],C1S9,3,0,stable
23,[807610],C1S9,3,0,stable
24,[818703],C1S9,3,0,stable
25,[827934],C1S9,3,0,stable
26,[836564],C1S9,3,0,stable
27,[845637],C1S9,3,0,stable
28,[855835],C1S9,3,0,stable
29,[864601],C1S6,1,1,stable
30,[874948],C1S6,1,1,stable
31,[901486],C1S9,3,0,stable
32,[908013],C1S6,1,1,stable
33,[917602],C1S7,2,1,stable
34,[930165],C1S9,3,0,stable
35,[938807],C1S6,1,1,stable
36,[948794],C1S6,1,1,stable
37,[957720],C1S6,1,1,stable
38,[969362],C1S9,3,0,stable
39,[978313],C1S6,1,1,stable
40,[989084],C1S9,3,0,stable
41,[1005855],C1S9,3,0,stable
42,[1014904],C1S6,1,1,stable
43,[1024749],C1S6,1,1,stable
44,[1035536],C1S9,3,0,stable
45,[1044118],C1S6,1,1,stable
46,[1052124],C1S6,1,1,stable
47,[1061088],C1S6,1,1,stable
48,[1087937],C1S9,3,0,stable
49,[1096759],C1S9,3,0,stable
50,[1103908],C1S6,1,1,stable
51,[1115386],C1S9,3,0,stable
52,[1124298],C1S9,3,0,stable
53,[1131832],C1S6,1,1,stable
54,[1143457],C1S9,3,0,stable
55,[1152155],C1S6,1,1,stable
56,[1164051],C1S9,3,0,stable
57,[1173636],C1S9,3,0,stable
58,[1182729],C1S9,3,0,stable
59,[1191390],C1S9,3,0,stable
60,[1202054],C1S9,3,0,stable
61,[1210808],C1S9,3,0,stable
62,[1221124],C1S7,2,1,stable
63,[1230382],C1S6,1,1,stable
64,[1260369],C1S6,1,1,stable
65,[1293611],C1S6,1,1,stable
66,[1312453],C1S10,4,0,stable
67,[1339693],C1S6,1,1,stable
68,[1349683],C1S6,1,1,stable
69,[1359418],C1S6,1,1,stable
70,[1370349],C1S6,1,1,stable
71,[1381530],C1S9,3,0,stable
72,[1390202],C1S9,3,0,stable
73,[1407877],C1S6,1,1,stable
74,[1433814],C1S9,3,0,stable
