,time_step,outcome_type,outcome,stimulus,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
0,[331842],C1S7,1,1,stable,1,0.98,0.028,0.028,0.028,0.98,0.028,0.028,0.028,0.1,0.0,0.9456280030042419,0.0543719969957581,0.9456280030042419,0.054371996995758086,0.5,0.5,0.5,0.5,1.0
1,[337429],C1S7,1,1,stable,1,0.981224,0.028,0.028,0.028,1.072,0.028,0.028,0.028,0.0612,0.020000000000000018,0.9458164927457591,0.05418350725424083,0.9581935836809882,0.04180641631901182,0.5,0.5,0.5,0.5,1.0
2,[345859],C1S9,3,0,stable,2,0.98193460701056,0.028,0.028,0.028,1.1548,0.028,0.028,0.028,0.037846559999999994,0.018776000000000015,0.9459256397992747,0.0540743602007252,0.9670863397214403,0.032913660278559714,0.5,0.5,0.5,0.5,0.0
3,[352678],C1S7,1,1,stable,1,0.98193460701056,0.028,0.028,0.032325184,1.1548,0.028,0.028,0.1252,0.060072,0.018776000000000015,0.9459256397992747,0.0540743602007252,0.9670863397214403,0.032913660278559714,0.4967561575123204,0.5032438424876796,0.4276122057780445,0.5723877942219555,1.0
4,[360491],C1S9,3,0,stable,2,0.9823644163038109,0.028,0.028,0.032325184,1.22932,0.028,0.028,0.1252,0.023791859579366394,0.018065392989439988,0.9459915565422699,0.05400844345773019,0.9735053372425845,0.026494662757415566,0.4967561575123204,0.5032438424876796,0.4276122057780445,0.5723877942219555,0.0
5,[369312],C1S9,3,0,stable,2,0.9823644163038109,0.028,0.028,0.03476898080877183,1.22932,0.028,0.028,0.21268,0.036110874816,0.018065392989439988,0.9459915565422699,0.05400844345773019,0.9735053372425845,0.026494662757415566,0.4949234388448241,0.505076561155176,0.36492760704501787,0.6350723929549821,0.0
6,[375153],C1S7,1,1,stable,1,0.9823644163038109,0.028,0.028,0.036186565395517276,1.22932,0.028,0.028,0.291412,0.021731755908791225,0.018065392989439988,0.9459915565422699,0.05400844345773019,0.9735053372425845,0.026494662757415566,0.49386038455735287,0.5061396154426471,0.31211799788723693,0.6878820021127631,1.0
7,[383285],C1S9,3,0,stable,2,0.9826348271310892,0.028,0.028,0.036186565395517276,1.2963879999999999,0.028,0.028,0.291412,0.015333250769391182,0.017635583696189117,0.9460329886596337,0.05396701134036619,0.9782289790226177,0.02177102097738231,0.49386038455735287,0.5061396154426471,0.31211799788723693,0.6878820021127631,0.0
8,[392059],C1S9,3,0,stable,2,0.9826348271310892,0.028,0.028,0.03702270434066903,1.2963879999999999,0.028,0.028,0.3622708,0.013102866979879217,0.017635583696189117,0.9460329886596337,0.05396701134036619,0.9782289790226177,0.02177102097738231,0.49323338488796303,0.5067666151120369,0.2683888294235312,0.7316111705764688,0.0
9,[398100],C1S7,1,1,stable,1,0.9826348271310892,0.028,0.028,0.037521780357103636,1.2963879999999999,0.028,0.028,0.42604372,0.007924697483586861,0.017635583696189117,0.9460329886596337,0.05396701134036619,0.9782289790226177,0.02177102097738231,0.4928591502906804,0.5071408497093196,0.2325208954243751,0.7674791045756248,1.0
10,[404156],C1S7,1,1,stable,1,0.9828126788149669,0.028,0.028,0.037521780357103636,1.3567491999999999,0.028,0.028,0.42604372,0.01024186083376936,0.017365172868910816,0.9460602226031156,0.053939777396884325,0.9817692683943753,0.018230731605624682,0.4928591502906804,0.5071408497093196,0.2325208954243751,0.7674791045756248,1.0
11,[413326],C1S9,3,0,stable,2,0.9829360211465474,0.028,0.028,0.037521780357103636,1.4110742799999998,0.028,0.028,0.42604372,0.0071763557713635994,0.017187321185033078,0.9460791020671024,0.053920897932897574,0.9844683648046135,0.015531635195386485,0.4928591502906804,0.5071408497093196,0.2325208954243751,0.7674791045756248,0.0
12,[419722],C1S7,1,1,stable,1,0.9829360211465474,0.028,0.028,0.03782275647902321,1.4110742799999998,0.028,0.028,0.483439348,0.004817296709795013,0.017187321185033078,0.9460791020671024,0.053920897932897574,0.9844683648046135,0.015531635195386485,0.4926334657115983,0.5073665342884017,0.20321537320893154,0.7967846267910684,1.0
