,start_time,end_time,choice_type,reward_type,outcome
0,2.695,3.138,2.0,0.0,3
1,9.052,13.967,2.0,1.0,4
2,21.366,21.367,1.0,1.0,2
3,27.872,27.904,2.0,0.0,3
4,33.442,34.793,2.0,0.0,3
5,39.387,40.444,2.0,1.0,4
6,47.422,49.083,2.0,0.0,3
7,54.263,54.333,1.0,1.0,2
8,61.037,64.872,2.0,1.0,4
9,72.774,72.775,1.0,1.0,2
10,79.426,80.91,1.0,1.0,2
11,88.472,89.545,1.0,1.0,2
12,96.378,99.535,2.0,0.0,3
13,105.375,106.426,2.0,0.0,3
14,111.612,112.712,1.0,1.0,2
15,119.25,121.697,1.0,1.0,2
16,129.023,131.861,1.0,1.0,2
17,150.031,150.033,2.0,0.0,3
18,155.904,159.402,2.0,1.0,4
19,166.087,167.878,2.0,0.0,3
20,173.719,173.72,1.0,1.0,2
21,179.824,183.36,1.0,1.0,2
22,189.946,193.439,2.0,1.0,4
23,200.821,203.658,1.0,1.0,2
24,210.375,215.524,2.0,0.0,3
25,220.222,221.855,2.0,0.0,3
26,226.455,232.779,2.0,0.0,3
27,238.945,239.666,2.0,0.0,3
28,244.033,244.609,1.0,0.0,1
29,249.922,250.495,2.0,1.0,4
30,257.633,260.431,1.0,1.0,2
31,267.45,268.624,2.0,1.0,4
32,275.65,277.005,2.0,0.0,3
33,282.685,282.686,1.0,1.0,2
34,289.042,295.338,1.0,1.0,2
35,302.118,304.323,1.0,0.0,1
36,308.913,309.772,2.0,0.0,3
37,314.306,315.583,2.0,1.0,4
38,323.4,325.354,1.0,1.0,2
39,333.237,334.784,1.0,1.0,2
40,342.497,342.498,1.0,1.0,2
41,349.087,353.974,2.0,0.0,3
42,358.47,359.687,2.0,0.0,3
43,365.003,368.246,1.0,1.0,2
44,375.068,377.168,1.0,1.0,2
45,384.419,385.521,2.0,1.0,4
46,393.5,396.796,1.0,1.0,2
47,404.662,406.61,1.0,1.0,2
48,424.378,424.38,2.0,0.0,3
49,428.968,430.064,1.0,1.0,2
50,436.798,437.342,2.0,0.0,3
51,441.569,444.403,1.0,1.0,2
52,451.626,453.133,1.0,0.0,1
53,459.183,461.514,2.0,0.0,3
54,466.578,469.319,1.0,1.0,2
55,476.65,479.224,2.0,0.0,3
56,483.629,484.264,1.0,1.0,2
57,491.003,491.311,2.0,1.0,4
58,497.769,498.508,1.0,1.0,2
59,506.528,509.789,1.0,1.0,2
60,516.082,516.513,1.0,0.0,1
61,522.488,522.728,1.0,1.0,2
62,530.791,531.842,1.0,1.0,2
63,539.739,541.308,1.0,1.0,2
64,548.34,552.732,1.0,1.0,2
65,559.485,560.9,2.0,0.0,3
66,566.208,569.894,1.0,0.0,1
67,575.781,576.84,1.0,1.0,2
68,584.898,587.87,2.0,0.0,3
69,603.339,603.4,2.0,0.0,3
70,609.473,611.005,1.0,1.0,2
71,617.816,621.057,2.0,1.0,4
72,629.099,629.1,1.0,1.0,2
73,636.209,638.698,1.0,1.0,2
74,646.672,647.397,1.0,1.0,2
75,653.562,657.505,2.0,0.0,3
76,662.065,668.173,2.0,0.0,3
77,674.347,676.205,2.0,0.0,3
78,680.954,682.587,2.0,1.0,4
79,689.842,691.562,1.0,1.0,2
80,698.175,701.829,2.0,0.0,3
81,717.339,720.852,1.0,0.0,1
82,727.044,734.683,1.0,1.0,2
83,740.875,742.042,1.0,1.0,2
84,749.606,751.189,1.0,1.0,2
85,758.598,758.61,2.0,0.0,3
86,807.317,808.714,1.0,1.0,2
87,814.897,822.128,1.0,1.0,2
88,828.365,830.126,1.0,1.0,2
89,849.377,852.557,1.0,1.0,2
90,869.805,877.795,1.0,1.0,2
91,884.912,889.31,2.0,0.0,3
92,905.84,909.112,2.0,1.0,4
93,916.674,917.065,2.0,0.0,3
94,934.566,936.919,1.0,1.0,2
95,944.336,946.023,2.0,0.0,3
96,962.063,964.995,2.0,1.0,4
97,972.094,974.589,1.0,1.0,2
98,982.112,989.471,1.0,1.0,2
99,997.509,997.53,1.0,1.0,2
100,1004.063,1005.878,1.0,1.0,2
101,1012.779,1013.684,1.0,0.0,1
102,1018.264,1018.365,2.0,0.0,3
103,1023.283,1028.055,1.0,1.0,2
104,1034.645,1035.542,2.0,0.0,3
105,1039.878,1040.622,2.0,1.0,4
106,1046.955,1050.551,1.0,1.0,2
107,1058.354,1060.936,1.0,1.0,2
108,1068.25,1068.295,1.0,1.0,2
109,1075.674,1076.577,1.0,1.0,2
110,1083.761,1083.762,1.0,1.0,2
111,1090.438,1094.128,1.0,1.0,2
112,1101.709,1102.638,2.0,0.0,3
113,1107.787,1107.826,1.0,1.0,2
114,1114.402,1114.866,1.0,1.0,2
115,1121.923,1124.234,1.0,1.0,2
116,1132.188,1134.618,1.0,1.0,2
117,1141.546,1141.562,1.0,1.0,2
118,1159.692,1166.35,1.0,1.0,2
119,1173.155,1175.525,1.0,1.0,2
120,1193.397,1194.9,1.0,1.0,2
121,1202.405,1206.021,1.0,1.0,2
122,1212.146,1214.209,1.0,0.0,1
123,1219.88,1221.104,2.0,1.0,4
124,1227.646,1227.651,1.0,1.0,2
125,1246.63,1247.964,2.0,0.0,3
126,1253.179,1253.33,1.0,1.0,2
127,1261.425,1267.284,1.0,1.0,2
128,1273.773,1278.084,1.0,1.0,2
129,1285.187,1289.234,1.0,1.0,2
130,1295.373,1296.466,1.0,1.0,2
131,1303.183,1307.615,1.0,1.0,2
132,1315.298,1321.696,1.0,1.0,2
133,1329.368,1336.231,2.0,0.0,3
134,1342.374,1347.12,1.0,1.0,2
135,1364.626,1370.156,1.0,0.0,1
136,1375.886,1376.112,1.0,1.0,2
137,1383.282,1387.391,1.0,1.0,2
138,1395.131,1396.469,1.0,1.0,2
139,1414.427,1414.429,2.0,0.0,3
140,1442.176,1443.057,1.0,1.0,2
141,1449.552,1449.938,2.0,1.0,4
142,1459.439,1463.892,1.0,0.0,1
143,1468.131,1470.772,1.0,1.0,2
144,1488.133,1489.118,2.0,0.0,3
145,1506.253,1506.464,2.0,0.0,3
146,1510.895,1512.218,1.0,1.0,2
147,1530.786,1536.783,1.0,1.0,2
148,1544.243,1550.737,1.0,0.0,1
149,1555.097,1555.737,1.0,1.0,2
150,1563.224,1564.466,1.0,1.0,2
151,1571.274,1572.62,1.0,1.0,2
152,1580.608,1582.176,1.0,1.0,2
153,1589.182,1590.363,1.0,1.0,2
154,1609.792,1609.794,2.0,0.0,3
155,1614.832,1617.252,1.0,1.0,2
156,1623.499,1624.387,1.0,1.0,2
157,1630.708,1633.084,1.0,1.0,2
158,1663.275,1667.085,1.0,1.0,2
159,1674.832,1677.214,1.0,1.0,2
160,1683.992,1683.994,2.0,1.0,4
161,1690.902,1691.184,2.0,0.0,3
162,1696.042,1696.487,1.0,1.0,2
163,1703.988,1705.115,1.0,1.0,2
164,1711.598,1712.662,1.0,1.0,2
165,1732.291,1734.453,1.0,1.0,2
166,1752.818,1754.588,1.0,1.0,2
167,1772.289,1772.291,2.0,0.0,3
168,1777.958,1778.515,1.0,1.0,2
169,1796.282,1796.573,2.0,0.0,3
